x	y	codepoint
0.23607582	0.035066746	10316
0.24451442	0.042696264	10317
0.24988699	0.034579895	10318
0.25824144	0.047628846	10319
0.25293493	0.031460356	1032
0.25099623	0.044850644	10320
0.25334373	0.06090685	10321
0.25598902	0.03711763	10322
0.2618607	0.054103427	10323
0.251732	0.020152746	10324
0.25323182	0.043371983	10325
0.25812215	0.01057633	10326
0.26386562	0.03205239	10327
0.2513428	0.056253184	10328
0.25924146	0.06462188	10329
0.30554882	-0.0007874577	1033
0.25557804	0.057556137	10330
0.26475736	0.057306558	10331
0.25345507	0.04084501	10332
0.25988814	0.04854047	10333
0.26305655	0.03704644	10334
0.27072442	0.051703878	10335
0.24851856	0.030607594	10336
0.25105414	0.047355488	10337
0.25319314	0.022900803	10338
0.2565447	0.046813514	10339
0.31001708	-0.031642556	1034
0.2476297	0.007363866	10340
0.2508062	0.036219206	10341
0.25480008	0.0017632318	10342
0.25994027	0.026533684	10343
0.24851291	0.046300247	10344
0.25594813	0.05414251	10345
0.2538151	0.04697268	10346
0.26153976	0.054685634	10347
0.24941184	0.031221552	10348
0.2575327	0.048728775	10349
0.23644745	0.00694055	1035
0.25816935	0.02937506	10350
0.26685095	0.050750677	10351
0.2602961	0.03878755	10352
0.2633504	0.056632105	10353
0.26558992	0.026592696	10354
0.26971483	0.049096413	10355
0.26155403	0.017470496	10356
0.26252326	0.04277365	10357
0.2681588	0.01112394	10358
0.27170455	0.032568023	10359
0.28199196	0.15424971	1036
0.26186636	0.05002657	10360
0.26837227	0.057639252	10361
0.2688073	0.05065482	10362
0.27481586	0.05293294	10363
0.2655808	0.041015923	10364
0.27014154	0.05238062	10365
0.27276367	0.0341954	10366
0.27949414	0.05238547	10367
0.23312946	0.035727136	10368
0.23955218	0.051527854	10369
0.33785096	0.15330993	1037
0.24127646	0.038258545	10370
0.24656655	0.049438264	10371
0.23700102	0.018118545	10372
0.24165878	0.03273347	10373
0.2438065	0.013168754	10374
0.25214693	0.027364714	10375
0.24073307	0.058656722	10376
0.24795595	0.06747686	10377
0.24527036	0.055498786	10378
0.2533783	0.066048555	10379
0.23442525	0.1558804	1038
0.24267547	0.038852766	10380
0.251191	0.053424574	10381
0.24977398	0.043890685	10382
0.25875714	0.052219957	10383
0.2501327	0.040809065	10384
0.2573558	0.058139924	10385
0.2581042	0.031323142	10386
0.2645326	0.04511551	10387
0.2530212	0.013988011	10388
0.25973293	0.037436172	10389
0.25002348	-0.018072106	1039
0.26082066	0.0102221165	10390
0.2689179	0.03141494	10391
0.24991103	0.06708275	10392
0.26232678	0.06724122	10393
0.2603667	0.05885546	10394
0.26937726	0.060870245	10395
0.25665697	0.039347112	10396
0.26725307	0.04711949	10397
0.26753652	0.040391304	10398
0.27498382	0.05008535	10399
0.3119978	0.0531065	104
0.3038155	0.01790853	1040
0.24649623	0.025019592	10400
0.25270373	0.04253247	10401
0.25478235	0.026816534	10402
0.2615859	0.041923534	10403
0.25022838	0.008902448	10404
0.25577068	0.028197812	10405
0.2559122	0.003484113	10406
0.26439556	0.020893356	10407
0.25847366	0.05085686	10408
0.26228073	0.063318536	10409
0.31811684	0.083609655	1041
0.2607844	0.050054457	10410
0.26850665	0.062487096	10411
0.25727952	0.036107544	10412
0.2647059	0.05041822	10413
0.26340473	0.039932203	10414
0.2716965	0.050430857	10415
0.26317835	0.026979147	10416
0.27077827	0.04308875	10417
0.2685647	0.02079537	10418
0.27759042	0.04265485	10419
0.3374621	0.08870839	1042
0.26534373	0.013285021	10420
0.2717202	0.0375724	10421
0.27264798	0.0075733177	10422
0.2813566	0.027029948	10423
0.26585814	0.050856598	10424
0.27519137	0.056231394	10425
0.27266595	0.05121292	10426
0.28175738	0.05585652	10427
0.26894104	0.03627661	10428
0.27966914	0.04417715	10429
0.26076615	0.08640609	1043
0.27792	0.034695078	10430
0.28800067	0.047020715	10431
0.25409815	0.038608175	10432
0.25996947	0.060045533	10433
0.26028675	0.034817148	10434
0.26875573	0.05220817	10435
0.26164463	0.01052056	10436
0.2624035	0.04132795	10437
0.26562852	0.0056358	10438
0.27312306	0.028817324	10439
0.31422907	0.025799407	1044
0.25425157	0.057337493	10440
0.26541466	0.06631479	10441
0.2623158	0.058144964	10442
0.27466908	0.06336633	10443
0.2581406	0.03810378	10444
0.26754025	0.048789646	10445
0.26902202	0.034423888	10446
0.28006855	0.050432846	10447
0.270916	0.04541427	10448
0.27501222	0.064869314	10449
0.29803202	0.08606922	1045
0.27564964	0.03283764	10450
0.28400812	0.053995658	10451
0.27452248	0.0187764	10452
0.27498403	0.04542063	10453
0.27996972	0.01003203	10454
0.28702185	0.032940015	10455
0.2690171	0.055647016	10456
0.28118235	0.06610115	10457
0.27710024	0.056344405	10458
0.28673434	0.060139157	10459
0.2805152	-0.0110222865	1046
0.27351648	0.04431091	10460
0.2829126	0.051492132	10461
